prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.04,Baseline,-,0.9271,-,0.9271,0.651,0.0,0.9301,0.6561,0.0,679,1830,51,3491,-,-
0.04,Single,LR,0.9271,0.91,0.8055,0.8462,55.93,0.8151,0.847,55.52,595,814,135,4507,0.8349,0.1291
0.04,Single,MLP,0.9271,0.68,0.8055,0.8198,48.36,0.9137,0.6756,5.68,667,1726,63,3595,0.8011,0.4248
0.04,Single,XGB,0.9271,0.89,0.81,0.8518,57.54,0.8151,0.8606,59.45,595,742,135,4579,0.8553,0.1224
0.05,Baseline,-,0.9119,-,0.9119,0.7083,0.0,0.9068,0.7111,0.0,662,1537,68,3784,-,-
0.05,Single,LR,0.9119,0.91,0.807,0.8413,45.61,0.8192,0.8427,45.54,598,837,132,4484,0.8322,0.1391
0.05,Single,MLP,0.9119,0.9,0.81,0.8283,41.15,0.8904,0.7343,8.0,650,1414,80,3907,0.8049,0.2252
0.05,Single,XGB,0.9119,0.89,0.807,0.8526,49.47,0.8137,0.8589,51.14,594,751,136,4570,0.8484,0.1331
0.06,Baseline,-,0.8936,-,0.8936,0.7471,0.0,0.889,0.7525,0.0,649,1317,81,4004,-,-
0.06,Single,LR,0.8936,0.9,0.8024,0.8507,40.94,0.8137,0.8528,40.55,594,783,136,4538,0.8275,0.1479
0.06,Single,MLP,0.8936,0.48,0.804,0.8407,37.02,0.6945,0.916,66.06,507,447,223,4874,0.8043,0.2074
0.06,Single,XGB,0.8936,0.88,0.8009,0.8652,46.7,0.7973,0.8718,48.22,582,682,148,4639,0.8434,0.1423
0.07,Baseline,-,0.8784,-,0.8784,0.7809,0.0,0.874,0.7814,0.0,638,1163,92,4158,-,-
0.07,Single,LR,0.8784,0.9,0.804,0.8545,33.6,0.8164,0.8536,33.02,596,779,134,4542,0.8229,0.155
0.07,Single,MLP,0.8784,0.7,0.8009,0.8439,28.72,0.5027,0.9673,85.04,367,174,363,5147,0.7796,0.1827
0.07,Single,XGB,0.8784,0.88,0.8024,0.8639,37.85,0.811,0.8673,39.29,592,706,138,4615,0.8378,0.1495
0.08,Baseline,-,0.8587,-,0.8587,0.8029,0.0,0.8644,0.8032,0.0,631,1047,99,4274,-,-
0.08,Single,LR,0.8587,0.9,0.8024,0.8528,25.32,0.8178,0.8523,24.93,597,786,133,4535,0.8147,0.1624
0.08,Single,MLP,0.8587,0.85,0.8009,0.8526,25.22,0.8493,0.8153,6.11,620,983,110,4338,0.7775,0.2633
0.08,Single,XGB,0.8587,0.88,0.8024,0.8633,30.64,0.8123,0.8686,33.24,593,699,137,4622,0.8285,0.1564
0.09,Baseline,-,0.8359,-,0.8359,0.8207,0.0,0.8466,0.8273,0.0,618,919,112,4402,-,-
0.09,Single,LR,0.8359,0.91,0.804,0.8485,15.49,0.8219,0.8504,13.38,600,796,130,4525,0.8066,0.1701
0.09,Single,MLP,0.8359,0.88,0.804,0.852,17.44,0.7959,0.8628,20.57,581,730,149,4591,0.7735,0.1842
0.09,Single,XGB,0.8359,0.89,0.8085,0.8532,18.09,0.8205,0.8572,17.3,599,760,131,4561,0.8206,0.1634
0.1,Baseline,-,0.8191,-,0.8191,0.8374,0.0,0.8329,0.845,0.0,608,825,122,4496,-,-
0.1,Single,LR,0.8191,0.94,0.804,0.8456,5.02,0.8178,0.8515,4.24,597,790,133,4531,0.7957,0.1785
0.1,Single,MLP,0.8191,0.86,0.804,0.8536,9.92,0.6507,0.9355,58.42,475,343,255,4978,0.7758,0.1988
0.1,Single,XGB,0.8191,0.9,0.8055,0.8576,12.43,0.8164,0.8609,10.3,596,740,134,4581,0.8134,0.1688
0.11,Baseline,-,0.8055,-,0.8055,0.8522,0.0,0.826,0.8566,0.0,603,763,127,4558,-,-
0.11,Single,MLP,0.8055,0.97,0.8009,0.8551,1.97,0.8219,0.8579,0.92,600,756,130,4565,0.7568,0.2162
0.11,Single,XGB,0.8055,0.91,0.8024,0.8594,4.86,0.8164,0.8609,3.01,596,740,134,4581,0.8071,0.1735
0.12,Baseline,-,0.7933,-,0.7933,0.8644,0.0,0.8123,0.8684,0.0,593,700,137,4621,-,-
0.13,Baseline,-,0.7857,-,0.7857,0.8775,0.0,0.7918,0.8801,0.0,578,638,152,4683,-,-
0.14,Baseline,-,0.7614,-,0.7614,0.8841,0.0,0.7795,0.8929,0.0,569,570,161,4751,-,-
0.15,Baseline,-,0.7508,-,0.7508,0.8916,0.0,0.7712,0.9002,0.0,563,531,167,4790,-,-
0.16,Baseline,-,0.7416,-,0.7416,0.8984,0.0,0.7616,0.906,0.0,556,500,174,4821,-,-
0.17,Baseline,-,0.734,-,0.734,0.906,0.0,0.7534,0.912,0.0,550,468,180,4853,-,-
0.18,Baseline,-,0.7249,-,0.7249,0.9128,0.0,0.7479,0.9177,0.0,546,438,184,4883,-,-
0.19,Baseline,-,0.7112,-,0.7112,0.9182,0.0,0.737,0.9245,0.0,538,402,192,4919,-,-
0.2,Baseline,-,0.6976,-,0.6976,0.9231,0.0,0.7233,0.931,0.0,528,367,202,4954,-,-
0.21,Baseline,-,0.696,-,0.696,0.9274,0.0,0.7164,0.9355,0.0,523,343,207,4978,-,-
0.22,Baseline,-,0.6869,-,0.6869,0.9314,0.0,0.7055,0.9387,0.0,515,326,215,4995,-,-
0.23,Baseline,-,0.6717,-,0.6717,0.934,0.0,0.6918,0.9419,0.0,505,309,225,5012,-,-
0.24,Baseline,-,0.6596,-,0.6596,0.9375,0.0,0.6836,0.9451,0.0,499,292,231,5029,-,-
0.25,Baseline,-,0.652,-,0.652,0.9406,0.0,0.674,0.9487,0.0,492,273,238,5048,-,-
0.26,Baseline,-,0.6474,-,0.6474,0.9439,0.0,0.663,0.9519,0.0,484,256,246,5065,-,-
0.27,Baseline,-,0.6353,-,0.6353,0.9466,0.0,0.6452,0.9534,0.0,471,248,259,5073,-,-
0.28,Baseline,-,0.6337,-,0.6337,0.9491,0.0,0.6288,0.9562,0.0,459,233,271,5088,-,-
0.29,Baseline,-,0.617,-,0.617,0.952,0.0,0.6164,0.9572,0.0,450,228,280,5093,-,-
0.3,Baseline,-,0.6064,-,0.6064,0.9549,0.0,0.6027,0.9594,0.0,440,216,290,5105,-,-
0.31,Baseline,-,0.5942,-,0.5942,0.9573,0.0,0.5932,0.9618,0.0,433,203,297,5118,-,-
0.32,Baseline,-,0.579,-,0.579,0.9586,0.0,0.5836,0.9654,0.0,426,184,304,5137,-,-
0.33,Baseline,-,0.5729,-,0.5729,0.9614,0.0,0.5781,0.9675,0.0,422,173,308,5148,-,-
0.34,Baseline,-,0.5638,-,0.5638,0.9631,0.0,0.5671,0.969,0.0,414,165,316,5156,-,-
0.35,Baseline,-,0.5562,-,0.5562,0.9647,0.0,0.5589,0.9701,0.0,408,159,322,5162,-,-
0.36,Baseline,-,0.5486,-,0.5486,0.968,0.0,0.5521,0.9705,0.0,403,157,327,5164,-,-
0.37,Baseline,-,0.5365,-,0.5365,0.9691,0.0,0.5466,0.9714,0.0,399,152,331,5169,-,-
0.38,Baseline,-,0.5289,-,0.5289,0.9695,0.0,0.5329,0.9729,0.0,389,144,341,5177,-,-
0.39,Baseline,-,0.5243,-,0.5243,0.9705,0.0,0.5274,0.9739,0.0,385,139,345,5182,-,-
0.4,Baseline,-,0.5198,-,0.5198,0.9718,0.0,0.5205,0.9748,0.0,380,134,350,5187,-,-
0.41,Baseline,-,0.5076,-,0.5076,0.9726,0.0,0.5151,0.9761,0.0,376,127,354,5194,-,-
0.42,Baseline,-,0.503,-,0.503,0.9734,0.0,0.5082,0.9774,0.0,371,120,359,5201,-,-
