feature,mean_abs_shap
labvalues_lactate_std,0.0
labvalues_lactate_first,0.0
labvalues_lactate_rate_change,0.0
labvalues_lactate_coeff,0.0
labvalues_lymphocytes_median,0.0
labvalues_lymphocytes_max,0.0
labvalues_lymphocytes_std,0.0
labvalues_lymphocytes_first,0.0
labvalues_lymphocytes_last,0.0
labvalues_lymphocytes_rate_change,0.0
labvalues_lymphocytes_coeff,0.0
labvalues_magnesium_mean,0.0
labvalues_magnesium_median,0.0
labvalues_magnesium_min,0.0
labvalues_magnesium_max,0.0
labvalues_magnesium_std,0.0
labvalues_magnesium_first,0.0
labvalues_magnesium_last,0.0
labvalues_magnesium_rate_change,0.0
labvalues_magnesium_coeff,0.0
labvalues_neutrophils_median,0.0
labvalues_neutrophils_min,0.0
labvalues_neutrophils_max,0.0
labvalues_neutrophils_std,0.0
labvalues_neutrophils_first,0.0
labvalues_neutrophils_last,0.0
labvalues_neutrophils_rate_change,0.0
labvalues_neutrophils_coeff,0.0
labvalues_oxygen_saturation_mean,0.0
labvalues_oxygen_saturation_median,0.0
labvalues_oxygen_saturation_std,0.0
labvalues_oxygen_saturation_first,0.0
labvalues_oxygen_saturation_last,0.0
labvalues_oxygen_saturation_rate_change,0.0
labvalues_oxygen_saturation_coeff,0.0
labvalues_pt_median,0.0
labvalues_pt_min,0.0
labvalues_pt_max,0.0
labvalues_pt_std,0.0
labvalues_pt_first,0.0
labvalues_pt_last,0.0
labvalues_pt_rate_change,0.0
labvalues_pt_coeff,0.0
labvalues_ptt_median,0.0
labvalues_ptt_max,0.0
labvalues_ptt_std,0.0
labvalues_ptt_first,0.0
labvalues_ptt_last,0.0
labvalues_ptt_rate_change,0.0
labvalues_ptt_coeff,0.0
labvalues_phosphate_median,0.0
labvalues_phosphate_min,0.0
labvalues_phosphate_max,0.0
labvalues_phosphate_std,0.0
labvalues_phosphate_first,0.0
labvalues_phosphate_last,0.0
labvalues_phosphate_rate_change,0.0
labvalues_phosphate_coeff,0.0
labvalues_platelet_count_median,0.0
labvalues_platelet_count_max,0.0
labvalues_platelet_count_std,0.0
labvalues_platelet_count_last,0.0
labvalues_platelet_count_rate_change,0.0
labvalues_platelet_count_coeff,0.0
labvalues_potassium_median,0.0
labvalues_potassium_max,0.0
labvalues_potassium_std,0.0
labvalues_potassium_rate_change,0.0
labvalues_potassium_coeff,0.0
labvalues_rdw_median,0.0
labvalues_rdw_min,0.0
labvalues_rdw_first,0.0
labvalues_rdw_last,0.0
labvalues_rdw_rate_change,0.0
labvalues_rdw_coeff,0.0
labvalues_red_blood_cells_median,0.0
labvalues_red_blood_cells_std,0.0
labvalues_red_blood_cells_first,0.0
labvalues_red_blood_cells_last,0.0
labvalues_red_blood_cells_rate_change,0.0
labvalues_red_blood_cells_coeff,0.0
labvalues_sodium_median,0.0
labvalues_sodium_std,0.0
labvalues_sodium_first,0.0
labvalues_sodium_last,0.0
labvalues_sodium_rate_change,0.0
labvalues_sodium_coeff,0.0
