prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.7,Baseline,-,0.071,-,0.071,0.996,0.0,0.0778,0.996,0.0,65,21,770,5213,-,-
0.71,Baseline,-,0.0643,-,0.0643,0.9962,0.0,0.0731,0.9962,0.0,61,20,774,5214,-,-
0.72,Baseline,-,0.0589,-,0.0589,0.997,0.0,0.0671,0.9969,0.0,56,16,779,5218,-,-
0.73,Baseline,-,0.0509,-,0.0509,0.997,0.0,0.0611,0.9971,0.0,51,15,784,5219,-,-
0.74,Baseline,-,0.0469,-,0.0469,0.9972,0.0,0.0539,0.9971,0.0,45,15,790,5219,-,-
0.75,Baseline,-,0.0469,-,0.0469,0.9976,0.0,0.0503,0.9973,0.0,42,14,793,5220,-,-
0.76,Baseline,-,0.0442,-,0.0442,0.9978,0.0,0.0467,0.9979,0.0,39,11,796,5223,-,-
0.77,Baseline,-,0.0402,-,0.0402,0.9984,0.0,0.0455,0.9983,0.0,38,9,797,5225,-,-
0.78,Baseline,-,0.0388,-,0.0388,0.9988,0.0,0.0419,0.9989,0.0,35,6,800,5228,-,-
0.79,Baseline,-,0.0375,-,0.0375,0.999,0.0,0.0383,0.999,0.0,32,5,803,5229,-,-
0.8,Baseline,-,0.0335,-,0.0335,0.9992,0.0,0.0335,0.999,0.0,28,5,807,5229,-,-
0.81,Baseline,-,0.0321,-,0.0321,0.9992,0.0,0.0299,0.999,0.0,25,5,810,5229,-,-
0.82,Baseline,-,0.0321,-,0.0321,0.9994,0.0,0.0263,0.9992,0.0,22,4,813,5230,-,-
0.83,Baseline,-,0.0281,-,0.0281,0.9996,0.0,0.0251,0.9992,0.0,21,4,814,5230,-,-
0.84,Baseline,-,0.0254,-,0.0254,0.9996,0.0,0.024,0.9998,0.0,20,1,815,5233,-,-
0.85,Baseline,-,0.0228,-,0.0228,0.9996,0.0,0.0192,0.9998,0.0,16,1,819,5233,-,-
0.86,Baseline,-,0.0201,-,0.0201,0.9996,0.0,0.0168,0.9998,0.0,14,1,821,5233,-,-
0.87,Baseline,-,0.0187,-,0.0187,0.9996,0.0,0.0156,0.9998,0.0,13,1,822,5233,-,-
0.88,Baseline,-,0.0161,-,0.0161,0.9996,0.0,0.0144,0.9998,0.0,12,1,823,5233,-,-
0.89,Baseline,-,0.0107,-,0.0107,0.9996,0.0,0.012,1.0,0.0,10,0,825,5234,-,-
0.9,Baseline,-,0.008,-,0.008,0.9996,0.0,0.0096,1.0,0.0,8,0,827,5234,-,-
0.91,Baseline,-,0.0067,-,0.0067,0.9998,0.0,0.0096,1.0,0.0,8,0,827,5234,-,-
0.92,Baseline,-,0.0067,-,0.0067,0.9998,0.0,0.006,1.0,0.0,5,0,830,5234,-,-
0.93,Baseline,-,0.0067,-,0.0067,0.9998,0.0,0.006,1.0,0.0,5,0,830,5234,-,-
0.94,Baseline,-,0.0054,-,0.0054,0.9998,0.0,0.0048,1.0,0.0,4,0,831,5234,-,-
0.95,Baseline,-,0.004,-,0.004,0.9998,0.0,0.0036,1.0,0.0,3,0,832,5234,-,-
0.96,Baseline,-,0.0027,-,0.0027,1.0,0.0,0.0012,1.0,0.0,1,0,834,5234,-,-
0.97,Baseline,-,0.0013,-,0.0013,1.0,0.0,0.0,1.0,0.0,0,0,835,5234,-,-
0.98,Baseline,-,0.0,-,0.0,1.0,0.0,0.0,1.0,0.0,0,0,835,5234,-,-
0.99,Baseline,-,0.0,-,0.0,1.0,0.0,0.0,1.0,0.0,0,0,835,5234,-,-
1.0,Baseline,-,0.0,-,0.0,1.0,0.0,0.0,1.0,0.0,0,0,835,5234,-,-
